Country,count
Albania,2
Argentina,5
Australia,18
Austria,120
Azerbaijan,1
Barbados,1
Belgium,68
Brazil,"1,855"
Canada,14
Colombia,21
Costa Rica,1
Cyprus,1
Czech Republic,14
Denmark,3
Egypt,1
Fiji,2
Finland,1
France,443
Gabon,2
Germany,"1,764"
Greece,2
Guatemala,9
Hong Kong,13
India,"1,524"
Indonesia,153
Ireland,9
Israel,638
Italy,582
Latvia,5
Lebanon,1
Malta,3
Mexico,766
Morocco,7
Netherlands,104
New Zealand,1
Nicaragua,6
Norway,1
Pakistan,"2,203"
Palestine,1
Panama,2
Peru,13
Philippines,1
Poland,8
Portugal,1
Romania,1
Russia,"1,546"
Saudi Arabia,2
Singapore,1
Slovakia,35
Slovenia,52
South Africa,3
South Korea,823
Spain,99
Sri Lanka,9
Switzerland,2
Taiwan,4
Thailand,285
Trinidad and Tobago,7
Tunisia,2
Turkey,"1,634"
Ukraine,7
United Arab Emirates,1
United Kingdom,165
Uruguay,3
Venezuela,1
Vietnam,265
